country,year,migrant_numbers
Turkey,2016,273869
Czechia,2016,34808
Luxembourg,2016,21557
Finland,2016,27274
Hungary,2016,23803
Poland,2016,107038
New Zealand,2016,104021
Denmark,2016,71228
Norway,2016,58508
Sweden,2016,142986
Korea,2016,402203
Australia,2016,218488
Austria,2016,158746
Netherlands,2016,182160
Switzerland,2016,143100
Belgium,2016,106087
Italy,2016,262929
France,2016,243597
Canada,2016,296740
Germany,2016,1719075
Spain,2016,352174
Japan,2016,427585
United States,2016,1183505
France,2017,246227
Italy,2017,301071
Spain,2017,453950
Belgium,2017,109167
Netherlands,2017,183856
Australia,2017,224220
Switzerland,2017,137803
Sweden,2017,124976
Austria,2017,139329
Korea,2017,452657
Norway,2017,49774
Poland,2017,127997
New Zealand,2017,103428
Denmark,2017,66424
Hungary,2017,36453
Finland,2017,23735
Luxembourg,2017,23180
Czechia,2017,43527
Turkey,2017,364561
Mexico,2017,32778
Estonia,2017,9067
Iceland,2017,11758
Chile,2017,207200
Colombia,2017,104459
Costa Rica,2017,8561
Greece,2017,80504
Ireland,2017,57200
Palastine,2017,26357
Latvia,2017,5125
Lithuania,2017,10213
Portugal,2017,61413
Slovak Republic,2017,2911
Slovenia,2017,15520
Canada,2017,286447
Germany,2017,1384018
Japan,2017,474996
United States,2017,1127167
France,2018,259934
Spain,2018,559998
Belgium,2018,119663
Italy,2018,285500
Netherlands,2018,191005
Switzerland,2018,140087
Korea,2018,495079
Sweden,2018,114431
Australia,2018,186640
Austria,2018,131724
Poland,2018,137588
New Zealand,2018,104221
Norway,2018,44406
Denmark,2018,64577
Hungary,2018,49312
Luxembourg,2018,23353
Finland,2018,23146
Czechia,2018,55872
Turkey,2018,466890
Mexico,2018,38675
Estonia,2018,9711
Iceland,2018,11537
Chile,2018,339350
Colombia,2018,217858
Costa Rica,2018,9162
Greece,2018,87290
Ireland,2018,61900
Palastine,2018,28099
Latvia,2018,6534
Lithuania,2018,12322
Portugal,2018,93154
Slovak Republic,2018,2869
Slovenia,2018,24101
Canada,2018,321042
Germany,2018,1383580
United States,2018,1096611
Japan,2018,519683
Chile,2019,254080
Colombia,2019,225817
Costa Rica,2019,7757
Greece,2019,95385
Ireland,2019,61700
Palastine,2019,33247
Latvia,2019,6612
Portugal,2019,129155
Slovak Republic,2019,2486
Lithuania,2019,19655
Estonia,2019,10953
Iceland,2019,9546
Slovenia,2019,40504
Mexico,2019,40543
Turkey,2019,578488
Czechia,2019,63340
Finland,2019,24178
Luxembourg,2019,25150
Hungary,2019,55297
Denmark,2019,61929
New Zealand,2019,124742
Poland,2019,163235
Norway,2019,44570
Austria,2019,134966
Sweden,2019,98235
Korea,2019,438220
Switzerland,2019,140554
Italy,2019,264571
Belgium,2019,129450
Netherlands,2019,215228
Spain,2019,666022
France,2019,268462
Canada,2019,341130
Germany,2019,1345943
Australia,2019,155817
United States,2019,1031765
Japan,2019,591961
Australia,2020,137465
Austria,2020,121311
Belgium,2020,101553
Canada,2020,184575
Chile,2020,154551
Colombia,2020,74801
Czechia,2020,53795
Denmark,2020,48005
Estonia,2020,10309
Finland,2020,23260
France,2020,208493
Greece,2020,63357
Hungary,2020,43785
Iceland,2020,7711
Ireland,2020,56500
Palastine,2020,19676
Italy,2020,191766
Japan,2020,220612
Korea,2020,233133
Latvia,2020,4560
Lithuania,2020,22292
Luxembourg,2020,20970
Mexico,2020,58430
Netherlands,2020,170612
New Zealand,2020,54489
Norway,2020,30818
Poland,2020,163512
Portugal,2020,118124
Slovak Republic,2020,2834
Slovenia,2020,25494
Spain,2020,415150
Sweden,2020,65789
Switzerland,2020,136962
Turkey,2020,242496
Germany,2020,994819
United States,2020,707362
France,2021,250383
Australia,2021,153826
Austria,2021,139543
Belgium,2021,122386
Chile,2021,76545
Colombia,2021,40675
Czechia,2021,67270
Denmark,2021,57261
Estonia,2021,12468
Finland,2021,28043
Greece,2021,28728
Hungary,2021,49069
Iceland,2021,8547
Ireland,2021,35000
Palastine,2021,25497
Italy,2021,243607
Japan,2021,79955
Korea,2021,220571
Latvia,2021,6435
Lithuania,2021,21146
Luxembourg,2021,23758
Mexico,2021,68523
Netherlands,2021,208056
New Zealand,2021,28164
Norway,2021,46604
Poland,2021,224206
Portugal,2021,111311
Slovak Republic,2021,2002
Slovenia,2021,32487
Spain,2021,752309
Sweden,2021,74395
Switzerland,2021,141549
Turkey,2021,615095
Germany,2021,1139816
Canada,2021,406020
United States,2021,740002
Australia,2022,217418
Austria,2022,246265
Belgium,2022,192002
Chile,2022,198398
Czechia,2022,347726
Denmark,2022,101175
Estonia,2022,42433
Finland,2022,42470
Greece,2022,62640
Hungary,2022,55514
Iceland,2022,15438
Ireland,2022,91800
Palastine,2022,74714
Italy,2022,336495
Korea,2022,412948
Latvia,2022,7343
Lithuania,2022,81041
Luxembourg,2022,29851
Mexico,2022,74109
Netherlands,2022,359331
New Zealand,2022,88848
Norway,2022,83281
Poland,2022,335289
Portugal,2022,143081
Slovak Republic,2022,1782
Slovenia,2022,36763
Spain,2022,1120474
Sweden,2022,86513
Switzerland,2022,162435
Turkey,2022,399643
France,2022,284910
Canada,2022,437590
United States,2022,1018004
Japan,2022,561800
Germany,2022,2481019
